2026-01-03 09:04:16,565 | ERROR | yfinance | $AXISBANK: possibly delisted; no timezone found
2026-01-03 09:04:16,566 | WARNING | src.core.warmup_manager | Insufficient data for AXISBANK: 0 days
2026-01-03 09:04:16,935 | ERROR | yfinance | $SBIN: possibly delisted; no timezone found
2026-01-03 09:04:16,936 | WARNING | src.core.warmup_manager | Insufficient data for SBIN: 0 days
2026-01-03 09:04:17,381 | ERROR | yfinance | $TCS: possibly delisted; no timezone found
2026-01-03 09:04:17,381 | WARNING | src.core.warmup_manager | Insufficient data for TCS: 0 days
2026-01-03 09:04:18,013 | ERROR | yfinance | $HCLTECH: possibly delisted; no timezone found
2026-01-03 09:04:18,014 | WARNING | src.core.warmup_manager | Insufficient data for HCLTECH: 0 days
2026-01-03 09:04:18,434 | ERROR | yfinance | $WIPRO: possibly delisted; no timezone found
2026-01-03 09:04:18,435 | WARNING | src.core.warmup_manager | Insufficient data for WIPRO: 0 days
2026-01-03 09:04:18,838 | ERROR | yfinance | $TECHM: possibly delisted; no timezone found
2026-01-03 09:04:18,839 | WARNING | src.core.warmup_manager | Insufficient data for TECHM: 0 days
